Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
6BF1283,1,43784,1639,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight
6BF1898,1,43784,2121,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,Car,Pedestrian,Serious
6BG0869,2,43785,1325,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6BI1037,2,43794,1520,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6BJ0288,3,43788,837,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6BL1641,2,43790,1845,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6BM0496,1,43791,1021,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Motorcycle over 500cc,Driver or rider,Slight
6BM1815,4,43791,2100,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
6BN1262,2,43792,1652,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
6BN1845,1,43792,2158,Motorway,Flood (surface water over 3cm deep),Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight
6BO0271,1,43793,313,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Pedestrian,Slight
6BP0216,4,43794,638,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
6BS1464,1,43797,1844,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
6BT2243,1,43798,2243,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
6BU0667,2,43799,1111,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6BU1580,2,43799,1940,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
6C10914,1,43800,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
6C41606,1,43803,1800,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Pedestrian,Slight
6C51902,2,43804,2200,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
6C60890,1,43805,1351,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
6C62096,2,43805,2312,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious
6C70250,1,43806,220,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
6C70890,1,43806,1329,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
6C80680,6,43807,1030,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6C91159,2,43808,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
6CA1524,2,43810,1812,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Vehicle or pillion passenger,Slight
6CB1101,2,43810,1528,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
6CC0282,1,43811,730,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
6CC1259,1,43811,1713,Unclassified,Snow,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight
6CG0378,2,43815,858,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
6CG1430,2,43815,1737,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
6CH0293,2,43816,805,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
6CH1278,2,43817,1600,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
6CI1555,1,43817,1645,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
6CJ0277,1,43818,733,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
6CN1273,2,43822,1718,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
6CS0418,2,43827,916,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
6CS1526,2,43827,1957,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious
