Reference Number,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
7BJ0208,2,44154,740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7BJ1255,2,44154,1715,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious
7BK0305,1,44155,857,Unclassified,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
7BN0248,2,44158,820,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
7BO0989,1,44159,1522,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
7BP0812,3,44160,1344,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7BP0818,2,44160,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
7BR1093,2,44162,1555,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7C31556,1,44168,1645,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
7C50503,2,44170,1035,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7CC1315,2,44177,1515,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7CG0261,1,44181,824,A,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight
7CI0343,1,44183,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
7CI0721,2,44183,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
7CV0276,2,44196,656,A,Frost / ice,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
7CV0566,2,44196,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
