Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity
4BN1161,2,23/11/2017,1610,M62,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
4BO0999,2,24/11/2017,1407,A672,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4BP0912,2,25/11/2017,1330,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4BR0301,1,27/11/2017,1308,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4BS0373,2,28/11/2017,850,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
4BS0989,2,28/11/2017,1426,A629,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4BS1151,1,28/11/2017,1535,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4BT1522,1,29/11/2017,1835,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle - Unknown CC,Pedestrian,Slight
4BU1244,1,30/11/2017,1635,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
4C10553,2,01/12/2017,1055,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4C11192,2,01/12/2017,1700,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4C40339,2,04/12/2017,850,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious
4C40671,2,01/12/2017,1745,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4C50654,2,05/12/2017,1120,A646,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
4C60859,3,06/12/2017,1357,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
4C70337,2,07/12/2017,829,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4C80344,2,08/12/2017,815,U,Snow,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4C91217,2,09/12/2017,1521,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4CC0257,1,12/12/2017,820,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
4CC0638,2,12/12/2017,1200,A641,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4CE0185,1,14/12/2017,521,U,Frost/Ice,Darkness: street lights present and lit,Other,Car,Driver or rider,Slight
4CE1079,2,13/12/2017,1325,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
4CE1247,1,14/12/2017,1617,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4CF0983,2,15/12/2017,1446,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4CG0833,2,16/12/2017,1302,M62,Frost/Ice,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious
4CI0753,1,18/12/2017,1410,A672,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4CJ1131,1,19/12/2017,1530,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4CL1529,1,21/12/2017,1815,A6036,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Fatal
4CM0347,2,22/12/2017,818,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
4CO1445,2,24/12/2017,1930,A6026,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
4CQ0580,2,26/12/2017,1217,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4CR1477,2,27/12/2017,1859,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4CR1653,3,27/12/2017,2053,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
4CS0470,1,28/12/2017,1132,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4CS1484,3,28/12/2017,2020,A58,Frost/Ice,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
4CV0744,2,31/12/2017,1331,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
